t = 1.5
             x             y          prec          calc          diff    n loc
  5.000000e+00  8.000000e+00  4.787500e+01  4.787500e+01  2.131628e-14   24 border
t = 4.000000
             x             y          prec          calc          diff    n loc
  0.000000e+00  4.000000e+00  6.400000e+01  6.400000e+01  3.552714e-14    0 border
  1.250000e+00  4.000000e+00  6.525000e+01  6.525000e+01  8.526513e-14    1 border
  2.500000e+00  4.000000e+00  6.650000e+01  6.650000e+01  1.989520e-13    2 border
  3.750000e+00  4.000000e+00  6.775000e+01  6.775000e+01  2.842171e-14    3 border
  5.000000e+00  4.000000e+00  6.900000e+01  6.900000e+01  1.421085e-14    4 border
  0.000000e+00  5.000000e+00  6.400000e+01  6.400000e+01  1.421085e-14    5 border
  1.250000e+00  5.000000e+00  6.525000e+01  6.525000e+01  7.105427e-14    6 inner
  2.500000e+00  5.000000e+00  6.650000e+01  6.650000e+01  2.842171e-14    7 inner
  3.750000e+00  5.000000e+00  6.775000e+01  6.775000e+01  0.000000e+00    8 inner
  5.000000e+00  5.000000e+00  6.900000e+01  6.900000e+01  0.000000e+00    9 border
  0.000000e+00  6.000000e+00  6.400000e+01  6.400000e+01  1.350031e-13   10 border
  1.250000e+00  6.000000e+00  6.525000e+01  6.525000e+01  4.263256e-14   11 inner
  2.500000e+00  6.000000e+00  6.650000e+01  6.650000e+01  1.421085e-13   12 inner
  3.750000e+00  6.000000e+00  6.775000e+01  6.775000e+01  9.947598e-14   13 inner
  5.000000e+00  6.000000e+00  6.900000e+01  6.900000e+01  0.000000e+00   14 border
  0.000000e+00  7.000000e+00  6.400000e+01  6.400000e+01  9.663381e-13   15 border
  1.250000e+00  7.000000e+00  6.525000e+01  6.525000e+01  5.684342e-14   16 inner
  2.500000e+00  7.000000e+00  6.650000e+01  6.650000e+01  1.278977e-13   17 inner
  3.750000e+00  7.000000e+00  6.775000e+01  6.775000e+01  5.684342e-14   18 inner
  5.000000e+00  7.000000e+00  6.900000e+01  6.900000e+01  5.826450e-13   19 border
  0.000000e+00  8.000000e+00  6.400000e+01  6.400000e+01  3.552714e-14   20 border
  1.250000e+00  8.000000e+00  6.525000e+01  6.525000e+01  8.526513e-14   21 border
  2.500000e+00  8.000000e+00  6.650000e+01  6.650000e+01  2.273737e-13   22 border
  3.750000e+00  8.000000e+00  6.775000e+01  6.775000e+01  4.263256e-14   23 border
  5.000000e+00  8.000000e+00  6.900000e+01  6.900000e+01  0.000000e+00   24 border
t = 4.500000
             x             y          prec          calc          diff    n loc
